rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count
66,69,師範大學公館校區,25.007528,121.537188,興豐公園,24.999837,121.547778,2
66,94,師範大學公館校區,25.007528,121.537188,捷運景美站,24.993254,121.541059,6
66,104,師範大學公館校區,25.007528,121.537188,台北花木批發市場,25.004023,121.54074,5
66,296,師範大學公館校區,25.007528,121.537188,萬和二號公園,25.001545,121.536446,9
66,315,師範大學公館校區,25.007528,121.537188,捷運萬隆站(1號出口),25.001447,121.539037,17
66,391,師範大學公館校區,25.007528,121.537188,景仁公園,24.9966,121.540295,8
69,98,興豐公園,24.999837,121.547778,羅斯福景隆街口,24.999378,121.540197,4
69,104,興豐公園,24.999837,121.547778,台北花木批發市場,25.004023,121.54074,2
69,206,興豐公園,24.999837,121.547778,捷運辛亥站,25.005386,121.55716,2
69,315,興豐公園,24.999837,121.547778,捷運萬隆站(1號出口),25.001447,121.539037,7
69,388,興豐公園,24.999837,121.547778,景華街128巷口,24.995563,121.547092,2
94,66,捷運景美站,24.993254,121.541059,師範大學公館校區,25.007528,121.537188,2
94,69,捷運景美站,24.993254,121.541059,興豐公園,24.999837,121.547778,25
94,98,捷運景美站,24.993254,121.541059,羅斯福景隆街口,24.999378,121.540197,2
94,104,捷運景美站,24.993254,121.541059,台北花木批發市場,25.004023,121.54074,6
94,151,捷運景美站,24.993254,121.541059,考試院,24.987507,121.549827,11
94,205,捷運景美站,24.993254,121.541059,木柵光輝路口,24.988241,121.55561,2
94,247,捷運景美站,24.993254,121.541059,木柵公園,24.987144,121.560627,4
94,262,捷運景美站,24.993254,121.541059,永安藝文館-表演36房,24.984144,121.569064,2
94,296,捷運景美站,24.993254,121.541059,萬和二號公園,25.001545,121.536446,4
94,315,捷運景美站,24.993254,121.541059,捷運萬隆站(1號出口),25.001447,121.539037,2
94,369,捷運景美站,24.993254,121.541059,世新大學,24.98862,121.54361,25
94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,117
94,391,捷運景美站,24.993254,121.541059,景仁公園,24.9966,121.540295,11
98,66,羅斯福景隆街口,24.999378,121.540197,師範大學公館校區,25.007528,121.537188,2
98,69,羅斯福景隆街口,24.999378,121.540197,興豐公園,24.999837,121.547778,13
98,94,羅斯福景隆街口,24.999378,121.540197,捷運景美站,24.993254,121.541059,10
98,388,羅斯福景隆街口,24.999378,121.540197,景華街128巷口,24.995563,121.547092,4
98,391,羅斯福景隆街口,24.999378,121.540197,景仁公園,24.9966,121.540295,2
104,66,台北花木批發市場,25.004023,121.54074,師範大學公館校區,25.007528,121.537188,6
104,69,台北花木批發市場,25.004023,121.54074,興豐公園,24.999837,121.547778,2
104,94,台北花木批發市場,25.004023,121.54074,捷運景美站,24.993254,121.541059,5
104,315,台北花木批發市場,25.004023,121.54074,捷運萬隆站(1號出口),25.001447,121.539037,2
141,142,文山行政中心,24.989902,121.569984,捷運木柵站,24.997996,121.57444,10
141,166,文山行政中心,24.989902,121.569984,臺北市立景美女中,24.980602,121.556177,4
141,171,文山行政中心,24.989902,121.569984,文山運動中心,24.996842,121.559651,3
141,247,文山行政中心,24.989902,121.569984,木柵公園,24.987144,121.560627,2
141,262,文山行政中心,24.989902,121.569984,永安藝文館-表演36房,24.984144,121.569064,3
141,272,文山行政中心,24.989902,121.569984,忠順區民活動中心,24.984707,121.563125,2
