rent_sno,date,value
1,2021-11-01,620
1,2021-11-02,577
1,2021-11-03,568
1,2021-11-04,632
1,2021-11-05,752
1,2021-11-06,631
1,2021-11-07,546
1,2021-11-08,402
1,2021-11-09,583
1,2021-11-10,586
1,2021-11-11,694
1,2021-11-12,521
1,2021-11-13,399
1,2021-11-14,512
1,2021-11-15,647
1,2021-11-16,685
1,2021-11-17,614
1,2021-11-18,508
1,2021-11-19,667
1,2021-11-20,419
1,2021-11-21,583
1,2021-11-22,426
1,2021-11-23,264
1,2021-11-24,591
1,2021-11-25,471
1,2021-11-26,254
1,2021-11-27,158
1,2021-11-28,486
1,2021-11-29,599
1,2021-11-30,458
2,2021-11-01,493
2,2021-11-02,477
2,2021-11-03,486
2,2021-11-04,547
2,2021-11-05,586
2,2021-11-06,429
2,2021-11-07,378
2,2021-11-08,353
2,2021-11-09,499
2,2021-11-10,485
2,2021-11-11,507
2,2021-11-12,451
2,2021-11-13,290
2,2021-11-14,323
2,2021-11-15,536
2,2021-11-16,513
2,2021-11-17,555
2,2021-11-18,440
2,2021-11-19,520
2,2021-11-20,254
2,2021-11-21,316
2,2021-11-22,330
2,2021-11-23,255
2,2021-11-24,409
2,2021-11-25,307
2,2021-11-26,197
2,2021-11-27,95
2,2021-11-28,270
2,2021-11-29,404
2,2021-11-30,344
3,2021-11-01,174
3,2021-11-02,165
3,2021-11-03,135
3,2021-11-04,177
3,2021-11-05,173
3,2021-11-06,108
3,2021-11-07,91
3,2021-11-08,86
3,2021-11-09,143
3,2021-11-10,149
3,2021-11-11,159
3,2021-11-12,129
3,2021-11-13,49
3,2021-11-14,69
3,2021-11-15,137
3,2021-11-16,156
3,2021-11-17,152
3,2021-11-18,118
3,2021-11-19,170
3,2021-11-20,78
3,2021-11-21,94
3,2021-11-22,101
3,2021-11-23,69
3,2021-11-24,141
3,2021-11-25,105
3,2021-11-26,46
3,2021-11-27,24
3,2021-11-28,56
3,2021-11-29,138
3,2021-11-30,121
4,2021-11-01,81
4,2021-11-02,80
4,2021-11-03,80
4,2021-11-04,96
4,2021-11-05,101
4,2021-11-06,58
4,2021-11-07,53
4,2021-11-08,50
4,2021-11-09,67
4,2021-11-10,92
4,2021-11-11,87
4,2021-11-12,56
4,2021-11-13,31
4,2021-11-14,52
4,2021-11-15,80
4,2021-11-16,84
4,2021-11-17,83
4,2021-11-18,61
4,2021-11-19,83
4,2021-11-20,35
4,2021-11-21,49
4,2021-11-22,52
4,2021-11-23,50
4,2021-11-24,65
4,2021-11-25,67
4,2021-11-26,43
4,2021-11-27,18
4,2021-11-28,52
4,2021-11-29,90
4,2021-11-30,58
5,2021-11-01,449
5,2021-11-02,508
5,2021-11-03,425
5,2021-11-04,498
5,2021-11-05,467
5,2021-11-06,340
5,2021-11-07,334
5,2021-11-08,312
5,2021-11-09,439
5,2021-11-10,443
5,2021-11-11,475
5,2021-11-12,383
5,2021-11-13,194
5,2021-11-14,270
5,2021-11-15,497
5,2021-11-16,481
5,2021-11-17,490
5,2021-11-18,418
5,2021-11-19,461
5,2021-11-20,240
5,2021-11-21,281
5,2021-11-22,380
5,2021-11-23,238
5,2021-11-24,446
5,2021-11-25,348
5,2021-11-26,206
5,2021-11-27,89
5,2021-11-28,267
5,2021-11-29,431
5,2021-11-30,395
6,2021-11-01,282
6,2021-11-02,291
6,2021-11-03,312
6,2021-11-04,336
6,2021-11-05,400
6,2021-11-06,324
6,2021-11-07,270
6,2021-11-08,148
6,2021-11-09,291
6,2021-11-10,299
6,2021-11-11,302
6,2021-11-12,262
6,2021-11-13,207
6,2021-11-14,264
6,2021-11-15,312
6,2021-11-16,299
6,2021-11-17,291
6,2021-11-18,232
6,2021-11-19,325
6,2021-11-20,182
6,2021-11-21,301
6,2021-11-22,180
6,2021-11-23,133
6,2021-11-24,284
6,2021-11-25,187
6,2021-11-26,156
6,2021-11-27,109
6,2021-11-28,218
6,2021-11-29,286
6,2021-11-30,188
7,2021-11-01,273
7,2021-11-02,235
7,2021-11-03,274
7,2021-11-04,215
7,2021-11-05,271
7,2021-11-06,216
7,2021-11-07,216
7,2021-11-08,131
7,2021-11-09,238
7,2021-11-10,253
7,2021-11-11,265
7,2021-11-12,150
7,2021-11-13,126
7,2021-11-14,202
7,2021-11-15,334
7,2021-11-16,282
7,2021-11-17,271
7,2021-11-18,186
7,2021-11-19,220
7,2021-11-20,115
7,2021-11-21,225
7,2021-11-22,147
7,2021-11-23,119
7,2021-11-24,214
7,2021-11-25,231
7,2021-11-26,108
7,2021-11-27,64
7,2021-11-28,214
7,2021-11-29,289
7,2021-11-30,211
8,2021-11-01,74
8,2021-11-02,91
8,2021-11-03,64
8,2021-11-04,75
8,2021-11-05,98
8,2021-11-06,60
8,2021-11-07,71
8,2021-11-08,39
8,2021-11-09,76
8,2021-11-10,83
8,2021-11-11,72
8,2021-11-12,53
8,2021-11-13,38
8,2021-11-14,54
8,2021-11-15,95
8,2021-11-16,88
8,2021-11-17,87
8,2021-11-18,63
8,2021-11-19,85
8,2021-11-20,31
8,2021-11-21,73
8,2021-11-22,64
8,2021-11-23,37
8,2021-11-24,76
8,2021-11-25,64
8,2021-11-26,34
8,2021-11-27,28
8,2021-11-28,58
8,2021-11-29,98
8,2021-11-30,51
9,2021-11-01,141
9,2021-11-02,155
9,2021-11-03,148
9,2021-11-04,124
9,2021-11-05,149
9,2021-11-06,94
9,2021-11-07,87
9,2021-11-08,93
9,2021-11-09,146
9,2021-11-10,134
9,2021-11-11,149
9,2021-11-12,99
9,2021-11-13,52
9,2021-11-14,83
9,2021-11-15,152
9,2021-11-16,157
9,2021-11-17,166
9,2021-11-18,132
9,2021-11-19,165
9,2021-11-20,61
9,2021-11-21,100
9,2021-11-22,107
9,2021-11-23,68
9,2021-11-24,139
9,2021-11-25,131
9,2021-11-26,53
9,2021-11-27,26
